1000, Dare to Lead, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1063, Rich Dad Poor Dad, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1064, Gone Girl, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1065, Angela's Ashes, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1066, The Lovely Bones, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1067, Dare to Lead, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1068, Dune, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1069, To Kill a Mockingbird, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1070, Moby Dick, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1071, The Silent Patient, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1072, The Immortal Life of Henrietta Lacks, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1073, The Outsiders, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1074, The Shining, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1075, The Silent Patient, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1076, The Compound Effect, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1077, The Four Agreements, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1078, Where the Crawdads Sing, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1079, Gone Girl, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1080, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1081, The Confidence Code, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1082, The Picture of Dorian Gray, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1083, 1984, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1084, The Perks of Being a Wallflower, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1085, The Fault in Our Stars, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1086, The Hobbit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1087, The Chronicles of Narnia, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1088, The Glass Castle, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1089, Freakonomics, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1090, Sapiens: A Brief History of Humankind, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1091, The Immortal Life of Henrietta Lacks, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1092, Jane Eyre, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1093, War and Peace, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1094, The Road, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1095, The Shining, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1096, The Confidence Code, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1097, The Alchemist, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1098, Freakonomics, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1099, Switch: How to Change Things When Change Is Hard, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1100, Pride and Prejudice, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1101, The Lord of the Rings, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1102, The 7 Habits of Highly Effective People, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1103, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1104, Deep Work, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1105, Rich Dad Poor Dad, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1106, Influence: The Psychology of Persuasion, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1107, War and Peace, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1108, Dune, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1109, Thinking, Fast and Slow, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1110, Switch: How to Change Things When Change Is Hard, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1111, The Girl on the Train, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1112, The Alchemist, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1113, Wuthering Heights, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1114, The Time Traveler's Wife, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1115, Pride and Prejudice, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1116, The 7 Habits of Highly Effective People, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1117, Jane Eyre, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1118, Thinking in Bets, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1119, The Four Agreements, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1120, Sapiens: A Brief History of Humankind, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1121, Sapiens: A Brief History of Humankind, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1122, The Help, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1123, Brave New World, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1124, The Miracle Morning, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1125, Crucial Conversations, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1126, The Compound Effect, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1127, The Hunger Games, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1128, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1129, Good to Great, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1130, The Secret Garden, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1131, The Art of Happiness, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1132, The Book Thief, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1133, The Secret Garden, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1134, The Kite Runner, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1135, The Happiness Advantage, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1136, The Seven Husbands of Evelyn Hugo, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1137, The Four Agreements, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1138, The Chronicles of Narnia, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1139, Pride and Prejudice, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1140, The Glass Castle, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1141, Life of Pi, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1142, Where the Crawdads Sing, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1143, The Picture of Dorian Gray, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1144, The Tipping Point, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1145, The Brief Wondrous Life of Oscar Wao, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1146, The Miracle Morning, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1147, Brave New World, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1148, The Brief Wondrous Life of Oscar Wao, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1149, Dare to Lead, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1150, The Subtle Art of Not Giving a F*ck, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1151, The Four Agreements, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1152, A Tale of Two Cities, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1153, Moby Dick, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1154, The Girl on the Train, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1155, A Tale of Two Cities, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1156, The Seven Husbands of Evelyn Hugo, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1157, Catch-22, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1158, How to Win Friends and Influence People, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1159, The Confidence Code, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1160, The Confidence Code, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1161, Eat, Pray, Love, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1162, The Glass Hotel, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1163, Good to Great, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1164, Gone Girl, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1165, The 48 Laws of Power, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1166, Crucial Conversations, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1167, Rising Strong, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1168, Quiet: The Power of Introverts in a World That Can't Stop Talking, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1169, The Great Gatsby, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1170, The Kite Runner, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1171, The Perks of Being a Wallflower, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1172, The Hunger Games, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1173, The Night Circus, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1174, Sapiens: A Brief History of Humankind, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1175, The Girl on the Train, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1176, Becoming, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1177, You Are a Badass, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1178, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1179, Wild: From Lost to Found on the Pacific Crest Trail, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1180, The Night Circus, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1181, The Seven Husbands of Evelyn Hugo, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1182, Brave New World, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1183, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1184, Thinking, Fast and Slow, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1185, The Invisible Man, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1186, The Tipping Point, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1187, The Lovely Bones, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1188, The Adventures of Huckleberry Finn, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1189, Essentialism: The Disciplined Pursuit of Less, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1190, Catch-22, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1191, Dune, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1192, The Adventures of Huckleberry Finn, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1193, Switch: How to Change Things When Change Is Hard, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1194, Sapiens: A Brief History of Humankind, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1195, The Help, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1196, Dare to Lead, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1197, Crucial Conversations, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1198, The Tao of Pooh, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1199, To Kill a Mockingbird, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1200, Thinking in Bets, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1201, The Glass Castle, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1202, Never Split the Difference, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1203, Rich Dad Poor Dad, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1204, The Tipping Point, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1205, The Seven Husbands of Evelyn Hugo, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1206, Drive: The Surprising Truth About What Motivates Us, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1207, Never Split the Difference, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1208, Thinking, Fast and Slow, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1209, A Man Called Ove, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1210, Drive: The Surprising Truth About What Motivates Us, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1211, The Invisible Man, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1212, Rising Strong, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1213, The Tao of Pooh, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1214, The Grapes of Wrath, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1215, Grit: The Power of Passion and Perseverance, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1216, Fahrenheit 451, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1217, The Compound Effect, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1218, You Are a Badass, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1219, Dune, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1220, The Miracle Morning, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1221, The Invisible Man, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1222, The Art of War, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1223, The Compound Effect, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1224, Angela's Ashes, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1225, The Brief Wondrous Life of Oscar Wao, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1226, The Confidence Code, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1227, The Catcher in the Rye, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1228, The Time Traveler's Wife, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1229, The Lord of the Rings, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1230, The Seven Husbands of Evelyn Hugo, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1231, Rich Dad Poor Dad, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1232, How to Win Friends and Influence People, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1233, Pride and Prejudice, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1234, The Miracle Morning, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1235, The Power of Habit, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1236, Drive: The Surprising Truth About What Motivates Us, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1237, Rich Dad Poor Dad, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1238, Catch-22, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1239, Rising Strong, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1240, Switch: How to Change Things When Change Is Hard, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1241, The Help, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1242, The Tipping Point, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1243, The Happiness Project, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1244, Influence: The Psychology of Persuasion, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1245, Gone Girl, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
1246, The Outsiders, CNTT, Ten Tac Gia, Nha xuat ban kim dong, 01/01/2000, 100000, 100
